INFO: setting server port as: 80
INFO: Waiting for incoming connection...
R66:13043.218812,0.023354,13043.830086,13043.853441
R67:13043.306647,0.109776,13043.853466,13043.963244
R68:13043.323213,0.131442,13043.963282,13044.094725
R69:13043.336645,0.113897,13044.094757,13044.208655
R70:13043.354589,0.249817,13044.208699,13044.458517
R71:13043.362372,0.061435,13044.458568,13044.520005
R72:13043.367794,0.022876,13044.520056,13044.542933
R73:13043.387195,0.109934,13044.542973,13044.652908
R74:13043.547146,0.285300,13044.652999,13044.938300
R75:13043.654142,0.118834,13044.938343,13045.057177
R76:13043.756201,0.012076,13045.057222,13045.069298
R77:13043.766079,0.006788,13045.069332,13045.076120
R78:13043.839527,0.019081,13045.076699,13045.095781
R79:13043.846805,0.142750,13045.095811,13045.238562
R80:13043.908712,0.117405,13045.238592,13045.355999
R81:13043.993919,0.014312,13045.356027,13045.370340
R82:13043.999280,0.019047,13045.370360,13045.389408
R83:13045.194759,0.011172,13045.389428,13045.400600
R84:13045.415466,0.004631,13045.415613,13045.420244
R85:13046.027413,0.006256,13046.027571,13046.033828
R86:13046.231928,0.213737,13046.232095,13046.445833
R87:13046.232420,0.016575,13046.445877,13046.462453
R88:13046.322543,0.041422,13046.462474,13046.503897
R89:13046.340387,0.142758,13046.503931,13046.646690
R90:13046.584623,0.067003,13046.646713,13046.713717
R91:13046.629210,0.050210,13046.713740,13046.763951
R92:13046.715856,0.008746,13046.763970,13046.772717
R93:13046.832159,0.117991,13046.832307,13046.950299
R94:13046.907899,0.404773,13046.950326,13047.355100
R95:13046.944202,0.175047,13047.355152,13047.530241
R96:13047.030262,0.082609,13047.530291,13047.612902
R97:13047.168048,0.114795,13047.612972,13047.727768
R98:13047.171709,0.216275,13047.727826,13047.944102
R99:13047.350866,0.148173,13047.944157,13048.092331
R100:13047.571110,0.113486,13048.092379,13048.205866
R101:13047.959576,0.342517,13048.205905,13048.548424
R102:13048.193305,0.057306,13048.548464,13048.605771
R103:13048.303276,0.147668,13048.605808,13048.753478
R104:13048.321255,0.006676,13048.753530,13048.760221
R105:13048.541045,0.023756,13048.760268,13048.784025
R106:13048.645990,0.021687,13048.784080,13048.805768
R107:13048.745317,0.031755,13048.805819,13048.837576
R108:13048.865972,0.021935,13048.866133,13048.888069
R109:13048.905920,0.083549,13048.906096,13048.989646
R110:13048.913704,0.087755,13048.989678,13049.077434
R111:13048.939068,0.296387,13049.077485,13049.373873
R112:13049.010553,0.065824,13049.373923,13049.439748
R113:13049.043437,0.010018,13049.439799,13049.449818
R114:13049.170490,0.074817,13049.449873,13049.524693
