R56:23985.081749,0.021360,23985.909341,23985.930701
R57:23985.141014,0.026940,23985.930716,23985.957657
R58:23985.161807,0.044892,23985.957676,23986.002569
R59:23985.243129,0.197754,23986.002600,23986.200355
R60:23985.261737,0.011230,23986.200378,23986.211608
R61:23985.272637,0.119091,23986.211622,23986.330714
R62:23985.341054,0.227785,23986.330736,23986.558522
R63:23985.759418,0.040265,23986.558544,23986.598810
R64:23985.874794,0.038326,23986.598825,23986.637151
R65:23986.013351,0.022025,23986.637192,23986.659219
R66:23986.048206,0.023354,23986.659226,23986.682581
R67:23986.136044,0.109776,23986.682592,23986.792370
R68:23986.152637,0.131442,23986.792390,23986.923833
R69:23986.166055,0.113897,23986.923856,23987.037754
R70:23986.183991,0.249817,23987.037786,23987.287604
R71:23986.191747,0.061435,23987.287640,23987.349077
R72:23986.197153,0.022876,23987.349103,23987.371980
R73:23986.216547,0.109934,23987.371993,23987.481927
R74:23986.376415,0.285300,23987.481952,23987.767252
R75:23986.483328,0.118834,23987.767290,23987.886125
R76:23986.585356,0.012076,23987.886191,23987.898267
R77:23986.595180,0.006788,23987.898300,23987.905088
R78:23986.668624,0.019081,23987.905490,23987.924572
R79:23986.675886,0.142750,23987.924599,23988.067350
R80:23986.737778,0.117405,23988.067377,23988.184783
R81:23986.822963,0.014312,23988.184816,23988.199129
R82:23986.828306,0.019047,23988.199162,23988.218218
R83:23988.023783,0.011172,23988.218245,23988.229418
R84:23988.244500,0.004631,23988.244595,23988.249227
R85:23988.856434,0.006256,23988.856564,23988.862821
R86:23989.060949,0.213737,23989.061056,23989.274794
R87:23989.061430,0.016575,23989.274832,23989.291408
R88:23989.151552,0.041422,23989.291422,23989.332844
R89:23989.169395,0.142758,23989.332858,23989.475617
R90:23989.413659,0.067003,23989.475643,23989.542647
R91:23989.458207,0.050210,23989.542679,23989.592890
R92:23989.544864,0.008746,23989.592911,23989.601658
R93:23989.661159,0.117991,23989.661263,23989.779256
R94:23989.736887,0.404773,23989.779278,23990.184053
R95:23989.773207,0.175047,23990.184116,23990.359164
R96:23989.859273,0.082609,23990.359217,23990.441827
R97:23989.997061,0.114795,23990.441867,23990.556663
R98:23990.000702,0.216275,23990.556702,23990.772977
R99:23990.179847,0.148173,23990.773034,23990.921262
R100:23990.386485,0.113486,23990.921315,23991.034802
R101:23990.774930,0.342517,23991.034846,23991.377364
R102:23991.008648,0.057306,23991.377413,23991.434720
R103:23991.118616,0.147668,23991.434760,23991.582429
R104:23991.136559,0.006676,23991.582464,23991.589141
R105:23991.356349,0.023756,23991.589199,23991.612957
R106:23991.461288,0.021687,23991.612973,23991.634661
R107:23991.560632,0.031755,23991.634701,23991.666457
R108:23991.681272,0.021935,23991.681403,23991.703338
R109:23991.721283,0.083549,23991.721470,23991.805019
R110:23991.729089,0.087755,23991.805059,23991.892814
R111:23991.754420,0.296387,23991.892860,23992.189248
R112:23991.825907,0.065824,23992.189301,23992.255126
R113:23991.858826,0.010018,23992.255169,23992.265188
R114:23991.985877,0.074817,23992.265222,23992.340040
R115:23992.049679,0.049958,23992.340076,23992.390049
R116:23992.338518,0.156816,23992.390103,23992.546920
R117:23992.379567,0.000269,23992.546954,23992.547228
R118:23992.436604,0.076041,23992.547241,23992.623283
R119:23992.478937,0.022202,23992.623320,23992.645528
R120:23992.658077,0.054968,23992.658188,23992.713157
R121:23992.770666,0.030314,23992.770796,23992.801111
R122:23992.836503,0.016797,23992.836623,23992.853421
R123:23992.961060,0.003476,23992.961155,23992.964632
R124:23993.058357,0.099222,23993.058496,23993.157719
R125:23993.111856,0.084593,23993.157746,23993.242339
R126:23993.223942,0.017008,23993.242373,23993.259382
R127:23993.266607,0.082216,23993.266764,23993.348981
R128:23993.360578,0.033171,23993.360699,23993.393871
